"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000188219.14" -0.949984018184251 -1.44026728014276 -6.43830388216002 7.40481683237281e-10 1.01201631648039e-05 10.3034347001327
"ENSG00000207166.1" 1.40337677450433 -2.07798281592446 6.20437835134087 2.66919424889173e-09 1.82399388998016e-05 9.32386668044062
"ENSG00000135763.10" -0.24001240351921 2.92670979093962 -5.81762438493504 2.07440304335045e-08 9.45028879782354e-05 8.86081802784762
"ENSG00000171720.10" 0.18940131337611 5.02972035940553 5.61578261573711 5.83540665227355e-08 0.000172392025918124 7.98328991224357
"ENSG00000197312.12" -0.212280518892956 5.33770138373123 -5.6004175828329 6.3068715123335e-08 0.000172392025918124 7.91211822648074
"ENSG00000151846.8" -0.562046543775932 0.139284236202398 -5.50758853963547 1.00530664001655e-07 0.000228992097485103 6.7932840487345
"ENSG00000124208.16" -2.26749437414589 -3.26619164687626 -5.37643711620232 1.92444887003478e-07 0.000354603835149387 5.02920216552612
"ENSG00000229833.9" 0.295421996748188 4.374242392594 5.36101078745454 2.07567914040762e-07 0.000354603835149387 6.79286244648086
"ENSG00000095139.14" -0.209838435254501 6.19780365264484 -5.25549269194736 3.46799067197709e-07 0.000526633650154565 6.31479956515337
"ENSG00000226696.6" 0.27071154694915 1.14488398346499 5.0546633704789 9.02643812735372e-07 0.00123364329886543 5.18532269620054
"ENSG00000207496.1" 0.900501408495481 0.0314019327973096 4.9490293473971 1.47673389212187e-06 0.0018347747366936 4.72708824906779
"ENSG00000207445.1" 0.813454331894161 1.58762272368466 4.87155335111432 2.10860369906599e-06 0.00240152389626124 4.51087180661294
"ENSG00000142230.11" 0.127996630752911 4.93141906571202 4.77912831294598 3.20759057032682e-06 0.0033721646403582 4.24735679495664
"ENSG00000126267.10" 0.150122598245426 6.38831147334317 4.74137721299662 3.80056856839966e-06 0.00371016933030844 4.07953414159234
"ENSG00000092841.18" 0.185563776899742 8.90109409686088 4.69081883243845 4.76245407499701e-06 0.00420920088709093 3.86916475959112
